Execução,Tempo de Execução (s),Uso de Memória (MB)
1,0.01311945915222168,18.0
2,0.0007503032684326172,18.0
3,0.0007016658782958984,18.0
4,0.0008029937744140625,18.0
5,0.0015823841094970703,18.0
6,0.0014560222625732422,18.00390625
7,0.00124359130859375,18.00390625
8,0.0008242130279541016,18.00390625
9,0.0008497238159179688,18.00390625
10,0.0007295608520507812,18.00390625
11,0.0011188983917236328,18.00390625
12,0.0007829666137695312,18.00390625
13,0.0007038116455078125,18.0078125
14,0.0007817745208740234,18.0078125
15,0.0006780624389648438,18.0078125
16,0.0007135868072509766,18.0078125
17,0.0007064342498779297,18.0078125
18,0.0006957054138183594,18.0078125
19,0.0007166862487792969,18.0078125
20,0.0006880760192871094,18.0078125
21,0.0006959438323974609,18.0078125
22,0.0007150173187255859,18.0078125
23,0.0011780261993408203,18.0078125
24,0.0018460750579833984,18.0078125
25,0.0007433891296386719,18.0078125
26,0.0006849765777587891,18.0078125
27,0.0006756782531738281,18.0078125
28,0.0006933212280273438,18.0078125
29,0.0007212162017822266,18.0078125
30,0.000698089599609375,18.0078125
31,0.0006997585296630859,18.0078125
32,0.0007746219635009766,18.0078125
33,0.0007030963897705078,18.0078125
34,0.0006818771362304688,18.0078125
35,0.0010154247283935547,18.0078125
36,0.0007128715515136719,18.0078125
37,0.0006842613220214844,18.0078125
38,0.0007462501525878906,18.0078125
39,0.0006778240203857422,18.0078125
40,0.0006821155548095703,18.0078125
41,0.0006992816925048828,18.0078125
42,0.0007755756378173828,18.0078125
43,0.0015032291412353516,18.0078125
44,0.001329660415649414,18.0078125
45,0.0012793540954589844,18.0078125
46,0.0007536411285400391,18.0078125
47,0.0007007122039794922,18.0078125
48,0.0006945133209228516,18.01171875
49,0.0007772445678710938,18.01171875
50,0.0007154941558837891,18.01171875
51,0.0006785392761230469,18.01171875
52,0.0006816387176513672,18.01171875
53,0.0006990432739257812,18.015625
54,0.0006844997406005859,18.015625
55,0.0006933212280273438,18.015625
56,0.0006825923919677734,18.015625
57,0.0006823539733886719,18.015625
58,0.0009613037109375,18.015625
59,0.0007822513580322266,18.015625
60,0.00086212158203125,18.015625
61,0.0006835460662841797,18.015625
62,0.0008981227874755859,18.015625
63,0.0017886161804199219,18.015625
64,0.0007429122924804688,18.015625
65,0.0007126331329345703,18.015625
66,0.0006964206695556641,18.015625
67,0.0008387565612792969,18.015625
68,0.0007188320159912109,18.015625
69,0.0009138584136962891,18.015625
70,0.0008573532104492188,18.015625
71,0.0006854534149169922,18.015625
72,0.0007641315460205078,18.015625
73,0.0007529258728027344,18.015625
74,0.0007004737854003906,18.015625
75,0.0006778240203857422,18.015625
76,0.0008943080902099609,18.015625
77,0.0007715225219726562,18.01953125
78,0.0009760856628417969,18.01953125
79,0.0007452964782714844,18.01953125
80,0.0007069110870361328,18.01953125
81,0.0006909370422363281,18.01953125
82,0.002006053924560547,18.01953125
83,0.0009505748748779297,18.01953125
84,0.0007638931274414062,18.01953125
85,0.0007023811340332031,18.01953125
86,0.0006976127624511719,18.01953125
87,0.0007939338684082031,18.01953125
88,0.0006971359252929688,18.01953125
89,0.0007097721099853516,18.01953125
90,0.0006837844848632812,18.0234375
91,0.0008034706115722656,18.0234375
92,0.0007991790771484375,18.0234375
93,0.0012447834014892578,18.0234375
94,0.0007431507110595703,18.0234375
95,0.0008785724639892578,18.0234375
96,0.0007221698760986328,18.0234375
97,0.0006833076477050781,18.0234375
98,0.0006988048553466797,18.0234375
99,0.0007658004760742188,18.0234375
100,0.0007767677307128906,18.0234375
